p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IFI44L	2.44397270153426e-06	0.902266414837261	1	0.607	0.00285700408809355
ISG15	1.27329533414639e-05	0.970336650803314	0.909	0.729	0.0148848224561713
IFIT3	2.05068703327911e-05	0.590436425581481	0.909	0.551	0.0239725314190327
MX1	4.00114007882223e-05	0.871631108668873	0.909	0.626	0.0467733275214319
GBP4	5.12329444635027e-05	0.618056701916962	0.909	0.701	0.0598913120778347
IFIT1	6.53477395216965e-05	0.579316014927011	0.818	0.52	0.0763915075008633
XAF1	9.11263552098851e-05	0.657645147876504	0.909	0.63	0.106526709240356
IFIT2	0.000114486596263049	0.485628321932144	0.818	0.486	0.133834831031504
IFI6	0.000145988812253416	0.784257556680799	0.909	0.618	0.170660921524243
RSAD2	0.000162279817683742	0.574636370691587	0.818	0.571	0.189705106872294
VIM	0.000209874795066519	-0.587463338755514	0.909	0.978	0.245343635432761
IFITM3	0.000265922783120869	0.648143329577354	1	0.791	0.310863733468295
CCL4L2	0.000358450667310048	0.406464020698584	1	0.99	0.419028830085446
FOLR2	0.000391369908508628	0.633680409515098	0.909	0.825	0.457511423046586
CCL3	0.000413603522578328	0.419577539290906	1	0.965	0.483502517894065
TNFSF10	0.000519800173476291	0.413772801930189	0.909	0.796	0.607646402793784
TOP2A	0.000579108685789616	-0.411442158806943	0.273	0.782	0.676978053688061
CCND1	0.000699380804031542	0.493682265692022	1	0.911	0.817576159912873
ANXA2	0.00125705855576917	-0.629540054712287	0.636	0.884	1
KLF2	0.00155733822330283	0.606104672000883	1	0.786	1
NRG1	0.0016447920553646	-0.278289132638797	0.455	0.771	1
LGALS3BP	0.00212303893710116	0.619209631003427	0.818	0.764	1
S100A4	0.00247107440224759	-0.513723755554285	0.909	0.949	1
GBP1	0.00258568778601234	0.702017019292207	0.818	0.682	1
FAM129B	0.00317600729589142	-0.309067977557141	0.182	0.661	1
APOE	0.00334448421664876	0.307988502264143	1	0.991	1
GPR82	0.0033946389785457	0.431514265567	0.818	0.74	1
CCL3L1	0.00349012338183692	0.366878272724665	1	0.971	1
HLA-DQA1	0.00480926947055603	0.363496307545608	0.909	0.951	1
RHOB	0.00535680883444543	0.488170096916433	0.818	0.79	1
KCNQ1OT1	0.00539615485023745	0.492536791796113	0.818	0.486	1
CDKN1C	0.00635220539723562	0.292121571571582	0.818	0.571	1
ADAMDEC1	0.00660509558222066	0.340520554835358	0.909	0.821	1
CD69	0.00661709386473337	0.33962279158889	0.909	0.806	1
VMO1	0.00685721972202236	0.5172501234423	0.818	0.754	1
MCEMP1	0.00789805975632238	-0.462130648290163	0	0.524	1
HERC5	0.00839793250768349	0.31128747245639	0.727	0.545	1
S100A10	0.00839959438006617	-0.617796580542669	0.818	0.858	1
S100A6	0.00845407662372151	-0.662103819541107	0.818	0.875	1
ACTN1	0.0084735142783618	-0.52975359049361	0.545	0.765	1
CCL5	0.00857258029040209	0.289485229372447	0.636	0.359	1
APOC1	0.0101322138949934	0.319559203244161	1	0.967	1
CLEC5A	0.0101345172050464	-0.555407357700874	0.545	0.804	1
CCL4	0.0106830673687257	0.29706630347552	0.909	0.964	1
SH3BP5	0.0107039864134325	-0.384344139937573	0.182	0.625	1
NR4A3	0.0112161233088344	0.435728954564009	0.909	0.798	1
TCHH	0.0118458452241966	0.58502834437519	0.818	0.7	1
LY6E	0.0126946227455585	0.479581476446291	0.818	0.654	1
S100A8	0.0139392188854302	-0.590614883852605	0.727	0.905	1
PMAIP1	0.0143077550719977	0.562375001780699	0.727	0.555	1
S100A9	0.0151158261904981	-0.525558655318768	0.818	0.966	1
CD52	0.0155366936038418	-0.543063120495893	0.091	0.584	1
MT2A	0.0165097039470616	0.467976166016943	1	0.809	1
C12orf57	0.0176221482582326	0.315350427571156	0.909	0.811	1
PTGER4	0.0197573837382814	0.365024097695165	0.909	0.766	1
CD300E	0.020260902734442	-0.357323334226384	0.455	0.732	1
EGR2	0.020598921675285	0.302956784430876	0.818	0.589	1
EMP1	0.0210505095204849	-0.317166770458893	0.182	0.58	1
IER2	0.0215420516138192	0.323719282303917	0.909	0.934	1
AC007952.4	0.0221610939079406	0.341958728439623	0.909	0.745	1
FOS	0.0232217911537176	0.287174029322799	1	0.949	1
SLC16A10	0.0247747814951552	-0.480731560211458	0.545	0.805	1
HIST1H1C	0.0260288540021137	-0.327627762340399	0.545	0.771	1
LYZ	0.0270705839229302	-0.504069198419511	0.909	0.886	1
GADD45G	0.0274326860961797	0.452142100025289	0.818	0.693	1
AL136987.1	0.028073526301808	0.359485321207236	0.727	0.724	1
ARL4C	0.0316411254528054	0.350225879055872	0.909	0.918	1
MKI67	0.032580684829128	-0.293089749050119	0.455	0.777	1
FLNA	0.0331890553609299	-0.533894821749095	0.273	0.659	1
SPRY2	0.034981210007551	0.33884249722194	0.455	0.382	1
PMP22	0.0363438884729794	-0.366266061892511	0.545	0.823	1
