p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Z93241.1	8.70857739582753e-17	0.704626379425486	0.922	0.756	1.01803269757224e-13
CCL4	8.96651966639534e-17	0.50665908091423	1	0.964	1.04818614900162e-13
AC007952.4	3.95970941209182e-14	0.681629297883425	0.922	0.745	4.62890030273534e-11
AC245014.3	1.02809202150514e-13	0.599784969709194	0.922	0.774	1.20183957313951e-10
CCL4L2	2.27409725246787e-13	0.453542136408371	1	0.99	2.65841968813494e-10
CCL3	2.84604434942881e-12	0.41631192975479	1	0.965	3.32702584448228e-09
CCL3L1	2.40966077312785e-11	0.433457459376402	0.98	0.971	2.81689344378645e-08
FOS	5.70531559440738e-11	0.340758090601424	1	0.949	6.66951392986223e-08
TMEM107	1.10685086560845e-10	0.480695278485018	0.902	0.747	1.29390866189628e-07
PLCG2	7.76839350045096e-10	0.497195054020497	0.902	0.757	9.08125200202717e-07
CCND1	1.16921299853037e-09	0.423766150774042	0.961	0.911	1.366809995282e-06
LGALS1	2.11128894651214e-09	-0.322841681520825	1	0.979	2.4680967784727e-06
AL136987.1	2.41296977317873e-09	0.476979249376435	0.863	0.724	2.82076166484593e-06
AC091271.1	2.74710312519989e-09	0.626895388961587	0.804	0.627	3.21136355335867e-06
HLA-DQA1	2.92751990670591e-09	0.363501160312171	0.98	0.951	3.4222707709392e-06
WDR74	4.14924268306236e-09	0.389029997628529	0.863	0.614	4.8504646964999e-06
TNF	7.55741781341321e-09	0.627127714043227	0.882	0.633	8.83462142388005e-06
TCHH	8.49378318505111e-09	0.380279492955243	0.824	0.7	9.92923254332474e-06
IER2	1.41294278618026e-08	0.392135091432986	1	0.934	1.65173011704472e-05
KLF2	1.68694748187427e-08	0.452175518870772	0.922	0.785	1.97204160631103e-05
C12orf57	1.83441972930919e-08	0.539038425967201	0.922	0.811	2.14443666356245e-05
JUN	3.0025918396588e-08	0.443926861064952	0.98	0.863	3.51002986056114e-05
AC004817.3	3.2586029533314e-08	0.396614735314645	0.902	0.791	3.80930685244441e-05
EMP3	6.32483509966267e-08	-0.481687792096869	0.824	0.869	7.39373223150567e-05
IER5L	7.5163211317487e-08	0.426464990065131	0.882	0.715	8.78657940301423e-05
HAMP	7.72568174066028e-08	0.394849747881037	0.98	0.955	9.03132195483186e-05
KCNQ1OT1	8.2306491221442e-08	0.465949507230361	0.824	0.485	9.62162882378657e-05
AL360012.1	1.27412670020425e-07	0.438675325549901	0.745	0.561	0.000148945411253876
GABPB1-AS1	1.72892846616858e-07	0.401613703021422	0.784	0.493	0.000202111737695107
VIM	3.91999742749231e-07	-0.286617607010571	1	0.978	0.000458247699273851
SNHG12	6.24256135721946e-07	0.324377386813894	0.882	0.639	0.000729755422658955
RGS16	1.12890975498923e-06	0.415316549784675	0.843	0.858	0.00131969550358241
ANXA2	1.23919828518023e-06	-0.355517838701731	0.843	0.884	0.00144862279537569
DNAJB1	1.55281828734737e-06	0.403553949193932	0.98	0.803	0.00181524457790908
A2M	2.01116229045798e-06	0.304134734991306	0.941	0.936	0.00235104871754537
RHOB	2.02417890124085e-06	0.373946797624905	0.941	0.79	0.00236626513555055
OTUD1	2.68499928731604e-06	0.358251821405876	0.941	0.814	0.00313876416687245
SCIN	3.24458192325043e-06	0.354626801853216	0.941	0.885	0.00379291626827975
ATP2B1-AS1	5.62132787702945e-06	0.39440400961718	0.882	0.743	0.00657133228824743
CCL2	7.32664674492329e-06	0.384376698341458	0.961	0.833	0.00856485004481533
S100A6	1.05213910868642e-05	-0.535607710351165	0.745	0.875	0.0122995061805442
AC098818.2	1.41345798519188e-05	0.376011512282112	0.686	0.658	0.016523323846893
SOCS1	1.71583956863683e-05	0.3354865417344	0.667	0.44	0.0200581645573645
HSPA1B	3.01057435216095e-05	0.412827967609577	0.843	0.574	0.0351936141767615
RNASE2	3.97682188395947e-05	0.272851555781124	0.941	0.859	0.0464890478234862
