p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPP1	1.58880284274592e-46	0.344208700117464	1	0.999	1.85731052316998e-43
PDGFA	4.03785343357306e-45	0.342789380975484	0.947	0.78	4.72025066384691e-42
CCND1	4.44956837791208e-45	0.547689006220019	0.993	0.91	5.20154543377922e-42
RGS16	4.36754650263482e-39	0.541719823761328	0.993	0.856	5.1056618615801e-36
APOE	3.68310482970598e-38	0.347493460702613	1	0.99	4.3055495459263e-35
A2M	5.70143177828874e-38	0.485635212970639	0.987	0.935	6.66497374881953e-35
CD69	1.01956248763671e-37	0.486807004576101	0.961	0.805	1.19186854804731e-34
SCIN	1.02823965673831e-35	0.548095663734137	0.993	0.884	1.20201215872709e-32
APOC1	4.60890524933505e-32	0.39168381568903	1	0.967	5.38781023647268e-29
FCGBP	9.5184792309248e-31	0.415772176900829	1	0.981	1.11271022209511e-27
NRP2	1.47564145722577e-29	0.487125022419519	0.954	0.657	1.72502486349692e-26
CYTL1	4.44916563861685e-29	0.280578996387922	0.914	0.814	5.2010746315431e-26
KLF2	3.17825428962682e-28	0.50819951986135	0.987	0.784	3.71537926457375e-25
HAMP	1.68323829323263e-26	0.433433271448993	1	0.955	1.96770556478894e-23
GPR84	5.30587460360616e-26	0.297297172270416	0.954	0.851	6.20256741161561e-23
CCL4	1.45458710008699e-24	0.350438860032827	1	0.964	1.70041232000169e-21
TCHH	1.48317477020929e-24	0.294526274389235	0.882	0.699	1.73383130637466e-21
GADD45G	5.4280303721089e-23	0.354206717967048	0.882	0.691	6.3453675049953e-20
NRG1	1.65320405563973e-22	-0.27224073615152	0.724	0.771	1.93259554104284e-19
VCAN	1.49133394210527e-21	-0.919548775463167	0.309	0.641	1.74336937832106e-18
RHOB	2.53605466653611e-21	0.430472443478987	0.98	0.788	2.96464790518072e-18
CCL3	1.10190232894843e-20	0.302485528524809	1	0.965	1.28812382254071e-17
PTGER4	7.9648178603422e-20	0.358796205329275	0.961	0.765	9.31087207874003e-17
VIM	9.10069338085493e-20	-0.274600310650251	1	0.978	1.06387105622194e-16
FCN1	1.04626981047862e-19	-0.434184737871933	0.164	0.558	1.2230894084495e-16
LYZ	4.16636027340181e-19	-0.53736971390734	0.914	0.886	4.87047515960671e-16
CCL4L2	2.65781392019726e-18	0.268662512096584	0.993	0.99	3.1069844727106e-15
ENG	6.28913409535239e-18	0.287879827432353	0.98	0.897	7.35199775746694e-15
ANPEP	1.95481517606555e-17	-0.455405656102519	0.283	0.606	2.28517894082063e-14
MCEMP1	2.72562451172646e-17	-0.407221970559934	0.191	0.527	3.18625505420823e-14
S100A10	3.41381733364963e-17	-0.543624001783089	0.875	0.857	3.99075246303642e-14
G0S2	1.4114534603805e-16	0.334435677362417	0.98	0.921	1.64998909518481e-13
TFRC	1.18052168337036e-15	0.328227506925551	0.921	0.655	1.38002984785995e-12
HLA-DQA1	2.27764736123658e-15	0.256137958616821	1	0.95	2.66256976528556e-12
PDGFB	8.93521255159463e-15	0.294344216095979	0.684	0.489	1.04452634728141e-11
ATF5	2.84242142916353e-14	0.251166959704034	0.914	0.821	3.32279065069216e-11
CXCL2	3.89157230698424e-14	-0.666662942470639	0.408	0.636	4.54924802686457e-11
MIR155HG	7.08861723428376e-14	0.277060156185584	0.757	0.601	8.28659354687771e-11
ZNF331	1.85949802003531e-13	0.309966577011982	0.993	0.902	2.17375318542128e-10
PADI2	2.50704150174261e-13	0.26585895694456	0.691	0.451	2.93073151553712e-10
CCL3L1	2.57069824635442e-13	0.25607500785751	1	0.971	3.00514624998832e-10
IL1A	3.56930865904711e-13	0.314911979492983	0.862	0.67	4.17252182242608e-10
NUSAP1	1.00822595517684e-12	-0.260290435936302	0.5	0.709	1.17861614160173e-09
