p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPP1	0	-0.491950297166884	0.997	0.999	0
NRG1	0	0.419494822783935	0.925	0.749	0
APOE	0	-0.484297470161542	0.978	0.992	0
S100A6	0	0.762272261628497	0.997	0.858	0
MARCKSL1	0	0.469162628162515	0.947	0.828	0
FLNA	0	0.640603149911388	0.922	0.622	0
S100A9	0	0.64445481958971	0.997	0.961	0
CD52	0	0.666011841760017	0.916	0.537	0
AC020656.1	0	0.677068324276674	0.838	0.418	0
FCN1	0	1.1163831804481	0.928	0.502	0
VCAN	0	0.766616145113169	0.955	0.593	0
S100A8	0	0.793779749871846	0.99	0.893	0
AREG	0	1.1089620855923	0.903	0.43	0
LYZ	0	0.880974222056788	0.994	0.871	0
HMMR	0	-0.257083136569983	0.244	0.669	0
S100A4	0	0.625469463308018	0.994	0.943	0
CD44	0	0.501335909854734	0.989	0.853	0
S100A12	0	0.871066974456831	0.813	0.442	0
APOBEC3A	0	0.700236001610146	0.917	0.532	0
LGALS2	0	0.744591430057946	0.828	0.393	0
MT1E	0	-0.311480438246324	0.254	0.689	0
JAML	0	0.685164221325422	0.929	0.65	0
CD300E	0	0.780559536453126	0.954	0.701	0
PLAC8	0	0.409334163228728	0.848	0.622	0
ANPEP	1.05302523076543e-297	0.519608469406893	0.916	0.559	1.23098649476478e-294
FCGBP	3.22448538641676e-297	-0.50296432142752	0.973	0.983	3.76942341672119e-294
RIPOR2	7.41116859737999e-290	0.618209038953492	0.736	0.297	8.66365609033721e-287
MCEMP1	4.21521024993887e-287	0.543755368974733	0.861	0.476	4.92758078217854e-284
APOC1	9.20386476558716e-283	-0.510704582287573	0.924	0.973	1.07593179109714e-279
AHNAK	1.55424844794808e-273	0.696025465943898	0.798	0.449	1.81691643565131e-270
ADAMDEC1	2.23013440379304e-256	-0.257236819169147	0.696	0.839	2.60702711803407e-253
LDHA	2.49250938591251e-255	-0.417828966107071	0.839	0.967	2.91374347213172e-252
CDK1	8.76948154854883e-255	-0.30392847628285	0.271	0.644	1.02515239302536e-251
PTX3	1.48005171568722e-248	0.290994699603912	0.732	0.398	1.73018045563836e-245
HAMP	5.53166132451864e-240	-0.52830857033271	0.924	0.959	6.46651208836229e-237
GPNMB	8.22207392226837e-238	-0.704532300900653	0.344	0.73	9.61160441513173e-235
TIMP1	1.19329398728931e-234	0.510297924116759	0.968	0.865	1.3949606711412e-231
TK1	2.87749025630751e-231	-0.314625428142311	0.745	0.769	3.36378610962348e-228
CENPF	2.07117697802161e-229	-0.454369102930036	0.667	0.814	2.42120588730727e-226
S100B	2.34213673094439e-227	-0.346125303511341	0.784	0.85	2.73795783847399e-224
ACP5	5.37954407904716e-226	0.297830190316858	0.898	0.564	6.28868702840612e-223
MIR3945HG	1.80467327393367e-218	0.384616456410485	0.779	0.457	2.10966305722846e-215
NRP1	3.03797649431861e-212	-0.438613385907658	0.908	0.898	3.55139452185845e-209
HSP90AA1	3.18125925528314e-212	-0.272497002537393	0.965	0.994	3.718892069426e-209
FYN	1.30362637183715e-211	0.321697440051426	0.734	0.422	1.52393922867763e-208
CFP	8.66909627634804e-208	0.626751313266916	0.718	0.383	1.01341735470509e-204
ZNF331	1.25472110805346e-207	0.425685737376694	0.969	0.893	1.46676897531449e-204
CTSD	3.20852431029064e-207	-0.296715257111882	0.941	0.98	3.75076491872976e-204
IFITM2	3.90178160705628e-206	0.495575673040839	0.894	0.786	4.56118269864879e-203
SLC2A3	3.21336339854668e-205	0.435755690180772	0.976	0.85	3.75642181290107e-202
CALR	5.96747526981169e-205	-0.378006846405848	0.958	0.979	6.97597859040986e-202
FABP5	4.72634279635416e-199	-0.53743933816817	0.508	0.805	5.52509472893802e-196
IER5L	5.94385095615177e-194	-0.29905121081603	0.446	0.753	6.94836176774141e-191
PTTG1	7.0601026518676e-192	-0.333814309827755	0.47	0.686	8.25326000003323e-189
CCL4	9.98169751962658e-192	-0.403554534774418	0.919	0.971	1.16686044004435e-188
HSPB1	2.86545084178597e-190	-0.451660512759162	0.804	0.865	3.3497120340478e-187
SCIN	2.45722475576543e-189	-0.453357328444221	0.883	0.886	2.87249573948978e-186
HBEGF	7.75721712721094e-188	0.397954761243583	0.981	0.865	9.06818682170959e-185
HSP90B1	3.87617860447435e-186	-0.357897149810151	0.965	0.975	4.53125278863052e-183
HLA-DQA1	2.05725906424614e-185	-0.373167704625724	0.919	0.955	2.40493584610374e-182
PCLAF	1.40463390421993e-184	-0.32803169748919	0.63	0.787	1.6420170340331e-181
CCL2	6.68057173260191e-176	-0.550424087994064	0.696	0.853	7.80958835541163e-173
A2M	1.37490916266902e-174	-0.419852177838471	0.923	0.938	1.60726881116009e-171
STMN1	1.5587781230326e-172	-0.590779055822602	0.859	0.886	1.82221162582511e-169
HSPA5	6.4966264430227e-165	-0.398458875696696	0.907	0.966	7.59455631189353e-162
ECE1	6.56348311795341e-164	0.304895398096164	0.705	0.446	7.67271176488754e-161
CD93	2.21884117842724e-163	0.353619693444161	0.969	0.924	2.59382533758144e-160
JUN	2.50328237008976e-163	-0.459182178943536	0.678	0.889	2.92633709063493e-160
HIST1H4C	7.33438327282735e-162	-0.42588269020473	0.857	0.896	8.57389404593517e-159
RGS16	4.65380188286238e-157	-0.34576691192845	0.885	0.854	5.44029440106612e-154
DUSP2	4.20777357852349e-155	0.377989467085591	0.943	0.799	4.91888731329396e-152
CCL3L1	3.97953596536695e-152	-0.363169855633338	0.921	0.978	4.65207754351396e-149
IL7R	1.41277145725706e-151	-0.29927855575646	0.838	0.844	1.6515298335335e-148
CCND1	2.12072573679365e-151	-0.370339520167618	0.91	0.911	2.47912838631177e-148
CCL3	1.61080944589689e-149	-0.307504788459336	0.945	0.968	1.88303624225347e-146
NR4A3	1.08006655494713e-145	0.386750136091197	0.905	0.784	1.26259780273319e-142
ACTN1	3.09005177469692e-145	0.368209409467964	0.919	0.743	3.6122705246207e-142
MIR4435-2HG	5.89973410145703e-142	0.426086200247494	0.818	0.61	6.89678916460327e-139
IL1RN	1.29153520719787e-139	0.380566579188403	0.958	0.812	1.50980465721431e-136
S100A10	1.48644437828456e-137	0.368755143475057	0.97	0.842	1.73765347821465e-134
THBS1	1.85877439119513e-137	0.761021093492489	0.673	0.339	2.17290726330711e-134
PECAM1	1.9359194095247e-136	0.374498816760807	0.883	0.769	2.26308978973437e-133
TYMS	5.63442762199439e-136	-0.317703563985706	0.596	0.682	6.58664589011144e-133
CXCL2	4.22254558200317e-128	0.436944128205004	0.869	0.6	4.93615578536171e-125
HSPD1	3.47105562902442e-127	-0.373205892149288	0.867	0.936	4.05766403032954e-124
CCL4L2	1.18561993570352e-126	-0.276205571581427	0.972	0.992	1.38598970483742e-123
DSTN	1.5244470965362e-125	-0.282460627955619	0.477	0.768	1.78207865585082e-122
SLC3A2	4.45371431264082e-125	-0.32635805202885	0.559	0.862	5.20639203147712e-122
AQP9	2.35634573612575e-124	0.370423008380382	0.714	0.428	2.754568165531e-121
H2AFZ	6.62570473021987e-124	-0.390936450481437	0.753	0.899	7.74544882962703e-121
EREG	1.29088550118632e-120	0.52122818444616	0.756	0.438	1.50904515088681e-117
FOLR2	1.49945939837282e-120	-0.345115574325986	0.776	0.832	1.75286803669782e-117
RNASE2	6.85537313850607e-119	-0.268092725145512	0.612	0.894	8.0139311989136e-116
CYTOR	5.57908649597175e-117	0.373313447934026	0.864	0.686	6.52195211379097e-114
HSPH1	3.82414692432152e-116	-0.411569462290448	0.509	0.766	4.47042775453186e-113
MKI67	4.01096960016121e-116	-0.425820997478011	0.74	0.782	4.68882346258845e-113
THBD	3.77930969881779e-113	0.418271733552735	0.837	0.777	4.41801303791799e-110
ANKH	2.92399985720884e-111	-0.255736867585518	0.496	0.727	3.41815583307713e-108
SELENOW	1.98074691878092e-109	-0.293625466028044	0.667	0.854	2.31549314805489e-106
ARID5B	1.01107079883572e-108	-0.328256969233805	0.537	0.703	1.18194176383896e-105
BNIP3	2.47023219957193e-107	-0.428274785426605	0.435	0.623	2.88770144129958e-104
EMP3	9.83186645023041e-107	0.284813116964663	0.935	0.859	1.14934518803193e-103
TUBA1C	1.88021400249459e-105	-0.342072901830953	0.646	0.834	2.19797016891618e-102
VEGFA	6.81732411749731e-105	0.394895813111035	0.823	0.674	7.96945189335435e-102
NRP2	1.19377560855939e-103	-0.3514659208284	0.481	0.685	1.39552368640593e-100
CD163	2.45888527752222e-103	-0.33177428935908	0.803	0.845	2.87443688942347e-100
RHOB	3.53543368153041e-103	-0.32916448040774	0.603	0.816	4.13292197370905e-100
TPX2	7.92521373944819e-102	-0.28729254242683	0.662	0.748	9.26457486141493e-99
CTSL	8.11759063850853e-100	-0.303374537531834	0.857	0.912	9.48946345641647e-97
PTMS	1.01568244536593e-99	-0.282213923813952	0.843	0.894	1.18733277863278e-96
IFITM3	6.61123127025177e-96	0.329438390520825	0.875	0.779	7.72852935492432e-93
FKBP1A	7.81728341355404e-96	0.256725864999596	0.966	0.894	9.13840431044467e-93
PLTP	2.48296371452236e-92	-0.432605391118317	0.723	0.751	2.90258458227664e-89
CSTB	2.55017344317728e-92	-0.34965813343671	0.786	0.891	2.98115275507425e-89
LUCAT1	1.02751320508192e-91	0.286790826923644	0.751	0.512	1.20116293674076e-88
SELENOP	1.37305732507532e-91	-0.302069063624997	0.517	0.662	1.60510401301305e-88
NUSAP1	3.62762417422058e-91	-0.33691926479428	0.609	0.72	4.24069265966386e-88
F13A1	2.7949497121414e-89	-0.327578040504944	0.658	0.89	3.2672962134933e-86
MT1X	5.21265371266966e-89	-0.315157053087133	0.643	0.759	6.09359219011083e-86
SNHG12	5.20732844098553e-87	-0.26304015507878	0.508	0.658	6.08736694751208e-84
ATP2B1-AS1	2.03925810530046e-86	0.326939147560815	0.832	0.731	2.38389272509623e-83
LDLR	8.74936955615484e-86	0.334901123826691	0.61	0.376	1.0228013011145e-82
CLEC5A	1.98215000331518e-80	-0.279564760129264	0.722	0.815	2.31713335387544e-77
SMIM25	2.33143988958952e-80	0.29004782102371	0.783	0.577	2.72545323093015e-77
LSP1	3.4684249493144e-78	0.274758698927135	0.855	0.726	4.05458876574854e-75
RAB13	2.81521390119977e-76	-0.295233439022261	0.328	0.572	3.29098505050253e-73
MT2A	4.26062653554825e-75	-0.373847311544283	0.656	0.831	4.98067242005591e-72
HSPA1B	4.66038788753219e-69	-0.331325569566115	0.389	0.601	5.44799344052513e-66
